"","symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","diffexpressed","original_leidenID","degreeCentrality","degree_ratio","betweennessCentrality","betweenness_ratio","closenessCentrality","eigenvectorCentrality","VEGFA","TNF.IL6","TGFB1.2","F2.Thrombin.","GSE13592","intersect_count","Average.NX..all.except.retina.","NX..retina.","tissue_ratio","degree_ratio_percentile","betweenness_ratio_percentile","tissue_ratio_percentile"
"153","KDR","12117.7151482895","-1.63818174636857","0.0284156655743387","-57.6506554837823","0","0","3791","DOWN",0,22,0.083969466,4131.18482,31.49602747,0.316045381,0.020466686,1,0,0,0,1,1,6.6016393442623,27.6,4.180779737,36.7192429022082,62.018927444795,97.73901809
"154","KLF2","423.007544485489","-2.26548258442702","0.079673138160253","-28.4347100759389","7.53186778653003e-178","3.19110498912607e-176","10365","DOWN",2,4,0.153846154,28.18567854,7.147238497,0.270598439,0.002647947,0,1,0,1,1,2,22.1377049180328,38.3,1.730079976,75.8675078864353,32.5552050473186,90.2454780361757
"155","KLF4","90.1302374842287","1.92942736977529","0.153113691247239","12.6012726494834","2.07764833105594e-36","1.9627871483022e-35","9314","UP",2,10,0.032051282,1773.620355,14.42708382,0.28482746,0.005583289,0,1,0,0,1,1,15.372131147541,11.7,0.761117628,4.10094637223975,41.8296529968454,61.1757105943152
"156","KLF6","8914.72386590448","1.00741187160508","0.0227114296520908","44.3570434374807","0","0","1316","UP",2,8,0.04494382,122.0116526,12.26970848,0.269896194,0.002652154,0,1,1,1,1,3,26.955737704918,13.2,0.489691662,10.2523659305994,39.2429022082019,41.0206718346253
"157","KLHL21","1368.48849693406","1.77827939468194","0.0522140878133073","34.0574635918226","3.14715737615329e-254","2.13418870459315e-252","9903","UP",23,14,0.155555556,868.1707201,69.75377956,0.285609667,0.00583986,0,0,0,0,1,0,13.0131147540984,17.1,1.314058957,76.5930599369085,81.64037855,83.9793281653747
"158","LAMA5","4021.07648542541","-1.1231355480194","0.0362369229161906","-30.9942306805963","6.44726605228007e-211","3.4267799902648e-209","3911","DOWN",4,24,0.117647059,1323.208904,12.94145074,0.32486464,0.026031497,0,0,1,1,1,2,11.3409836065574,18.6,1.640069384,59.24290221,40.0630914826498,88.953488372093
"159","LAP3","4264.77723726198","1.21754614711915","0.0751304817803532","16.2057545521762","4.592159198268e-59","6.4583054183508e-58","51056","UP",4,12,0.056074766,346.544269,16.84112545,0.318953179,0.020149184,0,1,1,1,1,3,26.6016393442623,15,0.563875023,16.3722397476341,45.36277603,46.9638242894057
"160","LBH","547.1272321435","3.6667994410729","0.0672236312700931","54.5462863548731","0","0","81606","UP",9,2,0.045454545,0,0,0.18651363,2.49e-05,0,1,1,1,1,3,17.2786885245902,32,1.85199241,10.7570977917981,10.1892744479495,91.34366925
"161","LDB2","1774.70841710843","-3.47425353952875","0.112552825468498","-30.8677594282265","3.23635595143637e-209","1.68597713240501e-207","9079","DOWN",15,4,0.068965517,7.265066579,1.648813381,0.240073869,0.000511416,0,0,0,1,1,1,12.0754098360656,15.4,1.275319033,24.5110410094637,23.3438485804416,83.0103359173127
"162","LEPR","290.665290192657","-1.0566316916197","0.0832183801903752","-12.6970951513655","6.13654405745814e-37","5.8677594494309e-36","3953","DOWN",4,6,0.09375,86.60853985,6.368693224,0.272251309,0.003342156,0,0,1,1,1,2,9.37704918,18.1,1.930244755,43.4384858,31.2933753943218,92.1188630490956
