"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","diffexpressed"
"ENSG00000133069",132.567536290586,2.0321094358606,0.110674104114675,18.3612006811913,2.6860215276265e-75,6.9201839271374e-74,"TMCC2","UP"
"ENSG00000163545",183.541581949727,3.07274747250175,0.134327450382663,22.8750524464532,8.23273512769657e-116,3.42236368757244e-114,"NUAK2","UP"
"ENSG00000117266",7.34236314548569,1.33992256509539,0.392494949727827,3.41385937838068,0.00064049624846256,0.0019726429141786,"CDK18","UP"
"ENSG00000174514",17.8998534171022,-1.05507344049391,0.283751164064234,-3.7183052410494,0.000200563834635796,0.000658552243336646,"MFSD4A","DOWN"
"ENSG00000276600",3.12390573387884,1.80659729414022,0.62188728617926,2.90502368240965,0.00367225313323551,0.0101000646317838,"RAB7B","UP"
"ENSG00000263528",515.373881563179,1.86080489904463,0.0658629868544421,28.2526649323849,1.31999156295508e-175,1.00832221748537e-173,"IKBKE","UP"
"ENSG00000162888",6.59642588478429,1.29273573395599,0.472107716569143,2.73822199592592,0.00617723623373807,0.0163774940093336,"IKBKE-AS1","UP"
"ENSG00000197721",13.5635433173958,7.75190910422199,0.863110675831763,8.98136162752433,2.67436291301513e-19,2.12197382836854e-18,"CR1L","UP"
"ENSG00000174059",2163.57960277814,-1.95264245699514,0.0840551012954546,-23.2305050722809,2.23969779549057e-119,9.69700204379727e-118,"CD34","DOWN"
"ENSG00000196878",1824.92245294321,3.8508118616517,0.0730719055040423,52.698938601494,0,0,"LAMB3","UP"
"ENSG00000123689",250.399326548147,2.63784493066336,0.127162134241405,20.7439498117865,1.39027338384265e-95,4.63798294643252e-94,"G0S2","UP"
"ENSG00000117594",1.99165025275355,2.06081889059867,0.827464822912383,2.49052145001805,0.0127555795977311,0.0318206273771376,"HSD11B1","UP"
"ENSG00000227764",23.1241853772268,-1.65322127657532,0.259246441380002,-6.3770259208767,1.80559910762773e-10,9.5331499439927e-10,"NTRAS","DOWN"
"ENSG00000162772",511.009711747651,2.44547850409943,0.0751547640103975,32.5392346885834,2.97327588360234e-232,3.67613378062298e-230,"ATF3","UP"
"ENSG00000123685",28.3541970823871,2.34820213376274,0.223037904582075,10.5282648622563,6.40033497851684e-26,6.23551725404975e-25,"BATF3","UP"
"ENSG00000230461",3.85323049642927,-1.46804273124781,0.628725104403587,-2.33495166801142,0.019545945750235,0.0467986678743398,"PROX1-AS1","DOWN"
"ENSG00000092969",85.5529358031596,2.04267050692165,0.161810439140484,12.6238487317138,1.56006314234199e-36,2.02487416299865e-35,"TGFB2","UP"
"ENSG00000143507",88.8010654677412,1.76015207023735,0.168021979115037,10.4757251373182,1.11678402173908e-25,1.08231036547207e-24,"DUSP10","UP"
"ENSG00000233384",2.18351507608827,2.20920349284166,0.876563267293527,2.52030124381413,0.0117254437125305,0.0295116991488727,"CNIH3-AS2","UP"
"ENSG00000185155",10.3010956106585,1.19254027363875,0.379237289023096,3.14457546279455,0.00166328007570298,0.00484344250283012,"MIXL1","UP"
"ENSG00000203685",4.19538970433313,6.81689449656622,0.940730850076666,7.24638135978071,4.28053785233045e-13,2.60922441997454e-12,"STUM","UP"
"ENSG00000143801",411.991375734584,1.33253680226136,0.0604986474123544,22.0258941192335,1.62667525378052e-107,6.16389141187671e-106,"PSEN2","UP"
"ENSG00000143816",420.170956841993,-1.83516737913092,0.0762043307346215,-24.0821927236894,3.84167232720999e-128,1.78924956195066e-126,"WNT9A","DOWN"
"ENSG00000196890",3.07058487170729,2.19734794865499,0.723527656622488,3.03699233684095,0.0023895153045357,0.00677401183011384,"H2BC26","UP"
"ENSG00000234975",20.3676018659189,1.56177599669731,0.241998484847565,6.45366022717489,1.0918045054776e-10,5.84162901369299e-10,"FTH1P2","UP"
"ENSG00000182118",243.25743550146,-1.28545210111958,0.093324897777783,-13.7739459857795,3.65681164976367e-43,5.51302855004597e-42,"FAM89A","DOWN"
"ENSG00000135750",125.852458427355,1.49738382814331,0.11192897912352,13.377981643975,8.13258878886918e-41,1.1631978216447e-39,"KCNK1","UP"
"ENSG00000116962",7433.89284336773,-1.15532760582239,0.0405274477294503,-28.5072875433713,9.51464546288098e-179,7.50718046291655e-177,"NID1","DOWN"
"ENSG00000077522",18.0690154068761,2.97105036628482,0.348364871362999,8.52855902106433,1.48181891152606e-17,1.09937854660885e-16,"ACTN2","UP"
"ENSG00000182901",10.5467832771963,4.20135806983063,0.605934116018142,6.93368793531481,4.10008588006642e-12,2.37604880210856e-11,"RGS7","UP"
"ENSG00000117009",2.15920948565966,-2.89975366550277,0.993818875351028,-2.91778888228355,0.00352522938528062,0.0097403700075269,"KMO","DOWN"
"ENSG00000162849",12.4183649619412,-1.17273488285515,0.379899586517391,-3.08696014545798,0.00202214706422726,0.005813642512592,"KIF26B","DOWN"
"ENSG00000162711",17.8984518383158,2.00294100168637,0.308836936751962,6.48543215960919,8.84778050574608e-11,4.75729350394139e-10,"NLRP3","UP"
"ENSG00000189292",3.32702086233134,6.07826927257544,0.95518094292822,6.36347418525938,1.97240556211528e-10,1.03886956110885e-09,"ALKAL2","UP"
"ENSG00000115705",24.2042492132762,1.14701816090172,0.245748218739294,4.66745259349593,3.04957081691535e-06,1.20964123721733e-05,"TPO","UP"
"ENSG00000134326",579.468680675886,7.23082191863947,0.384110267964602,18.8248597387296,4.72457849002077e-79,1.27904898037966e-77,"CMPK2","UP"
"ENSG00000134321",805.846157697817,7.82586518577052,0.462950657606389,16.9043181107742,4.18133559543637e-64,8.99493413382393e-63,"RSAD2","UP"
"ENSG00000151692",399.396398418434,-1.79275795395457,0.0772001702731981,-23.2222020704139,2.71704683983949e-119,1.17425379279982e-117,"RNF144A","DOWN"
"ENSG00000134317",25.0687179436933,1.01558095264502,0.212934754795352,4.76944664867448,1.84732658803242e-06,7.46084787683879e-06,"GRHL1","UP"
"ENSG00000172059",319.319734148467,1.24436604340051,0.0668961152227992,18.6014694464113,3.12619929283778e-77,8.24011167450627e-76,"KLF11","UP"
"ENSG00000071575",239.420800568926,-1.5791943112167,0.0789884648581029,-19.9927206340016,6.37247635884996e-89,1.92264425086007e-87,"TRIB2","DOWN"
"ENSG00000134323",35.3034551562024,-3.340803351798,0.296872213108519,-11.2533379827529,2.22990115848677e-29,2.39849368553649e-28,"MYCN","DOWN"
"ENSG00000157856",6.45429509272789,-1.58423757316027,0.450496396022873,-3.51664871716274,0.000437031755917937,0.00137567502591176,"DRC1","DOWN"
"ENSG00000084734",41.3933956693087,1.03323736932267,0.19758058824694,5.22944778376362,1.70017111837514e-07,7.38506056598081e-07,"GCKR","UP"
"ENSG00000213626",547.1272321435,1.23092037381366,0.071719158197298,17.1630622103431,5.0195817203471e-66,1.11172379634576e-64,"LBH","UP"
"ENSG00000205221",10.1709280784,-3.5176828042478,0.543586434053436,-6.47124833123044,9.7196540261528e-11,5.21089900472287e-10,"VIT","DOWN"
